ssn,year,month
27.4,1766,1
24.0,1766,2
21.4,1766,3
19.9,1766,4
18.7,1766,5
18.6,1766,6
20.1,1766,7
22.5,1766,8
24.2,1766,9
26.6,1766,10
28.6,1766,11
30.9,1766,12
34.3,1767,1
38.2,1767,2
43.4,1767,3
48.8,1767,4
54.9,1767,5
60.7,1767,6
64.9,1767,7
69.2,1767,8
71.9,1767,9
72.8,1767,10
76.8,1767,11
83.2,1767,12
88.4,1768,1
92.4,1768,2
96.4,1768,3
101.0,1768,4
105.8,1768,5
112.4,1768,6
117.8,1768,7
119.1,1768,8
120.2,1768,9
125.2,1768,10
128.7,1768,11
129.6,1768,12
135.4,1769,1
143.7,1769,2
152.5,1769,3
163.2,1769,4
172.8,1769,5
176.8,1769,6
178.9,1769,7
186.4,1769,8
193.0,1769,9
190.9,1769,10
187.5,1769,11
186.5,1769,12
185.1,1770,1
184.9,1770,2
182.2,1770,3
175.3,1770,4
170.4,1770,5
168.7,1770,6
163.3,1770,7
151.9,1770,8
142.9,1770,9
141.5,1770,10
148.2,1770,11
156.5,1770,12
156.1,1771,1
148.4,1771,2
143.5,1771,3
142.3,1771,4
139.1,1771,5
136.4,1771,6
140.5,1771,7
148.1,1771,8
150.1,1771,9
150.9,1771,10
144.8,1771,11
132.5,1771,12
128.9,1772,1
129.4,1772,2
125.7,1772,3
121.4,1772,4
117.9,1772,5
113.0,1772,6
107.6,1772,7
100.1,1772,8
97.2,1772,9
94.5,1772,10
90.6,1772,11
88.8,1772,12
83.4,1773,1
76.9,1773,2
72.4,1773,3
67.3,1773,4
62.3,1773,5
59.4,1773,6
57.4,1773,7
59.4,1773,8
62.2,1773,9
63.3,1773,10
64.8,1773,11
65.5,1773,12
64.8,1774,1
63.7,1774,2
61.8,1774,3
59.4,1774,4
56.9,1774,5
53.2,1774,6
48.1,1774,7
40.6,1774,8
33.0,1774,9
27.7,1774,10
22.1,1774,11
17.7,1774,12
15.4,1775,1
14.4,1775,2
14.1,1775,3
13.2,1775,4
12.5,1775,5
12.0,1775,6
12.9,1775,7
14.9,1775,8
15.3,1775,9
15.7,1775,10
16.9,1775,11
17.9,1775,12
18.4,1776,1
19.5,1776,2
21.5,1776,3
24.1,1776,4
27.2,1776,5
30.8,1776,6
34.7,1776,7
38.0,1776,8
42.0,1776,9
49.4,1776,10
59.3,1776,11
68.4,1776,12
79.2,1777,1
91.8,1777,2
104.9,1777,3
117.1,1777,4
130.2,1777,5
146.0,1777,6
163.4,1777,7
177.6,1777,8
189.3,1777,9
199.3,1777,10
213.7,1777,11
231.1,1777,12
241.4,1778,1
247.4,1778,2
253.2,1778,3
260.5,1778,4
264.3,1778,5
260.9,1778,6
252.9,1778,7
252.5,1778,8
255.3,1778,9
254.2,1778,10
247.3,1778,11
236.4,1778,12
231.7,1779,1
229.1,1779,2
222.9,1779,3
216.5,1779,4
211.7,1779,5
209.5,1779,6
206.8,1779,7
199.0,1779,8
192.9,1779,9
188.0,1779,10
182.3,1779,11
178.2,1779,12
172.5,1780,1
166.7,1780,2
163.7,1780,3
159.2,1780,4
152.2,1780,5
144.9,1780,6
143.3,1780,7
143.7,1780,8
139.0,1780,9
134.0,1780,10
131.9,1780,11
132.4,1780,12
132.2,1781,1
130.0,1781,2
125.6,1781,3
119.2,1781,4
116.3,1781,5
115.1,1781,6
110.4,1781,7
104.7,1781,8
101.0,1781,9
98.0,1781,10
92.6,1781,11
85.0,1781,12
78.3,1782,1
74.2,1782,2
71.5,1782,3
70.0,1782,4
67.3,1782,5
64.5,1782,6
62.3,1782,7
60.6,1782,8
59.9,1782,9
58.3,1782,10
55.3,1782,11
52.2,1782,12
51.0,1783,1
49.0,1783,2
46.2,1783,3
44.1,1783,4
41.9,1783,5
39.4,1783,6
37.0,1783,7
33.8,1783,8
30.6,1783,9
28.2,1783,10
25.7,1783,11
23.4,1783,12
20.5,1784,1
18.0,1784,2
16.7,1784,3
16.2,1784,4
16.3,1784,5
16.7,1784,6
16.5,1784,7
16.0,1784,8
15.9,1784,9
16.2,1784,10
17.6,1784,11
19.8,1784,12
23.1,1785,1
25.9,1785,2
28.1,1785,3
32.4,1785,4
36.7,1785,5
39.2,1785,6
42.3,1785,7
47.2,1785,8
52.6,1785,9
60.1,1785,10
69.9,1785,11
77.2,1785,12
82.7,1786,1
90.8,1786,2
101.1,1786,3
111.2,1786,4
121.0,1786,5
132.2,1786,6
144.9,1786,7
155.7,1786,8
162.5,1786,9
168.2,1786,10
174.0,1786,11
179.8,1786,12
185.7,1787,1
192.1,1787,2
198.6,1787,3
204.9,1787,4
209.8,1787,5
215.8,1787,6
220.3,1787,7
222.1,1787,8
227.6,1787,9
230.2,1787,10
227.4,1787,11
229.7,1787,12
234.4,1788,1
235.3,1788,2
234.1,1788,3
231.9,1788,4
227.6,1788,5
221.3,1788,6
216.5,1788,7
214.6,1788,8
212.7,1788,9
212.1,1788,10
213.8,1788,11
212.2,1788,12
208.1,1789,1
204.1,1789,2
199.8,1789,3
194.2,1789,4
193.3,1789,5
196.4,1789,6
196.1,1789,7
195.5,1789,8
194.0,1789,9
190.3,1789,10
186.1,1789,11
182.0,1789,12
176.7,1790,1
172.3,1790,2
168.7,1790,3
166.0,1790,4
162.0,1790,5
154.1,1790,6
147.7,1790,7
141.1,1790,8
135.0,1790,9
132.2,1790,10
129.7,1790,11
126.5,1790,12
124.8,1791,1
121.9,1791,2
118.1,1791,3
115.7,1791,4
113.1,1791,5
111.5,1791,6
109.9,1791,7
109.1,1791,8
108.4,1791,9
107.6,1791,10
106.7,1791,11
105.6,1791,12
103.7,1792,1
103.1,1792,2
103.7,1792,3
103.0,1792,4
102.2,1792,5
100.8,1792,6
99.9,1792,7
99.2,1792,8
98.0,1792,9
95.9,1792,10
93.7,1792,11
92.3,1792,12
91.9,1793,1
90.1,1793,2
85.5,1793,3
82.2,1793,4
80.5,1793,5
78.9,1793,6
77.4,1793,7
75.9,1793,8
73.9,1793,9
71.0,1793,10
69.5,1793,11
69.1,1793,12
67.8,1794,1
67.9,1794,2
67.7,1794,3
65.6,1794,4
65.9,1794,5
67.9,1794,6
66.7,1794,7
64.8,1794,8
62.7,1794,9
60.3,1794,10
57.9,1794,11
54.5,1794,12
50.8,1795,1
47.9,1795,2
47.1,1795,3
46.6,1795,4
43.0,1795,5
37.8,1795,6
35.5,1795,7
34.4,1795,8
33.5,1795,9
34.6,1795,10
34.9,1795,11
33.4,1795,12
33.7,1796,1
33.0,1796,2
31.6,1796,3
31.4,1796,4
29.6,1796,5
27.6,1796,6
26.2,1796,7
24.3,1796,8
22.1,1796,9
19.4,1796,10
16.5,1796,11
15.9,1796,12
14.6,1797,1
13.3,1797,2
12.8,1797,3
11.6,1797,4
11.1,1797,5
10.8,1797,6
9.8,1797,7
8.9,1797,8
9.5,1797,9
9.9,1797,10
9.2,1797,11
7.9,1797,12
6.8,1798,1
6.3,1798,2
5.9,1798,3
5.3,1798,4
5.4,1798,5
6.3,1798,6
6.7,1798,7
7.3,1798,8
8.6,1798,9
9.7,1798,10
10.8,1798,11
12.1,1798,12
13.0,1799,1
12.9,1799,2
12.5,1799,3
12.6,1799,4
12.1,1799,5
11.4,1799,6
11.6,1799,7
11.8,1799,8
11.0,1799,9
9.9,1799,10
9.1,1799,11
9.8,1799,12
12.0,1800,1
14.6,1800,2
16.8,1800,3
18.1,1800,4
19.2,1800,5
21.9,1800,6
25.5,1800,7
28.3,1800,8
30.8,1800,9
34.0,1800,10
38.1,1800,11
40.5,1800,12
42.0,1801,1
44.3,1801,2
47.1,1801,3
50.1,1801,4
53.5,1801,5
56.1,1801,6
58.1,1801,7
60.8,1801,8
62.8,1801,9
64.3,1801,10
65.9,1801,11
67.8,1801,12
69.7,1802,1
71.4,1802,2
73.4,1802,3
75.1,1802,4
75.2,1802,5
74.9,1802,6
75.2,1802,7
75.6,1802,8
75.1,1802,9
73.1,1802,10
72.0,1802,11
71.3,1802,12
70.6,1803,1
69.5,1803,2
68.0,1803,3
68.6,1803,4
70.9,1803,5
71.9,1803,6
71.4,1803,7
70.9,1803,8
72.0,1803,9
75.1,1803,10
76.1,1803,11
75.3,1803,12
73.9,1804,1
73.3,1804,2
74.4,1804,3
75.5,1804,4
76.7,1804,5
78.3,1804,6
80.2,1804,7
81.0,1804,8
80.9,1804,9
80.3,1804,10
79.8,1804,11
80.5,1804,12
81.5,1805,1
82.0,1805,2
81.4,1805,3
78.5,1805,4
74.8,1805,5
71.9,1805,6
68.9,1805,7
66.3,1805,8
64.0,1805,9
62.1,1805,10
60.5,1805,11
58.6,1805,12
57.0,1806,1
55.4,1806,2
52.8,1806,3
51.2,1806,4
49.9,1806,5
47.8,1806,6
45.0,1806,7
41.9,1806,8
39.1,1806,9
37.2,1806,10
35.8,1806,11
33.7,1806,12
31.6,1807,1
29.4,1807,2
27.1,1807,3
24.5,1807,4
21.6,1807,5
18.4,1807,6
15.9,1807,7
14.6,1807,8
13.4,1807,9
11.9,1807,10
11.3,1807,11
11.7,1807,12
11.4,1808,1
10.7,1808,2
10.8,1808,3
11.0,1808,4
11.3,1808,5
12.7,1808,6
14.1,1808,7
14.9,1808,8
15.3,1808,9
14.7,1808,10
13.2,1808,11
12.0,1808,12
11.1,1809,1
10.1,1809,2
8.8,1809,3
7.7,1809,4
6.7,1809,5
5.1,1809,6
3.7,1809,7
2.6,1809,8
1.9,1809,9
1.6,1809,10
1.3,1809,11
0.7,1809,12
0.1,1810,1
0.1,1810,2
0.0,1810,3
0.0,1810,4
0.0,1810,5
0.0,1810,6
0.0,1810,7
0.0,1810,8
0.0,1810,9
0.0,1810,10
0.0,1810,11
0.0,1810,12
0.5,1811,1
0.9,1811,2
1.1,1811,3
1.7,1811,4
2.2,1811,5
2.3,1811,6
3.1,1811,7
4.1,1811,8
4.2,1811,9
4.3,1811,10
4.4,1811,11
4.5,1811,12
4.2,1812,1
4.9,1812,2
6.1,1812,3
6.2,1812,4
6.5,1812,5
7.6,1812,6
7.5,1812,7
7.3,1812,8
7.9,1812,9
9.2,1812,10
10.6,1812,11
11.6,1812,12
13.6,1813,1
14.3,1813,2
14.5,1813,3
16.9,1813,4
19.1,1813,5
20.0,1813,6
21.9,1813,7
23.5,1813,8
23.9,1813,9
24.7,1813,10
25.2,1813,11
25.5,1813,12
25.7,1814,1
25.3,1814,2
24.4,1814,3
23.3,1814,4
22.6,1814,5
22.8,1814,6
23.0,1814,7
24.2,1814,8
27.0,1814,9
29.0,1814,10
29.8,1814,11
33.0,1814,12
37.0,1815,1
41.3,1815,2
46.0,1815,3
48.6,1815,4
51.2,1815,5
55.9,1815,6
59.5,1815,7
62.5,1815,8
68.4,1815,9
73.6,1815,10
77.8,1815,11
79.4,1815,12
78.8,1816,1
77.3,1816,2
76.8,1816,3
79.5,1816,4
81.2,1816,5
78.8,1816,6
77.1,1816,7
77.0,1816,8
77.8,1816,9
77.1,1816,10
73.3,1816,11
71.4,1816,12
71.9,1817,1
74.2,1817,2
75.0,1817,3
72.1,1817,4
69.3,1817,5
68.5,1817,6
68.3,1817,7
65.8,1817,8
58.4,1817,9
54.0,1817,10
56.8,1817,11
58.8,1817,12
57.0,1818,1
54.6,1818,2
52.9,1818,3
52.6,1818,4
51.7,1818,5
50.3,1818,6
50.0,1818,7
49.7,1818,8
48.1,1818,9
45.6,1818,10
42.3,1818,11
39.9,1818,12
40.0,1819,1
39.9,1819,2
38.7,1819,3
37.6,1819,4
38.3,1819,5
39.6,1819,6
39.0,1819,7
38.5,1819,8
38.9,1819,9
38.9,1819,10
39.6,1819,11
38.6,1819,12
36.1,1820,1
35.3,1820,2
34.6,1820,3
32.7,1820,4
30.2,1820,5
27.5,1820,6
26.2,1820,7
24.8,1820,8
23.3,1820,9
22.7,1820,10
20.0,1820,11
17.5,1820,12
15.6,1821,1
12.9,1821,2
11.4,1821,3
12.0,1821,4
12.5,1821,5
11.6,1821,6
9.5,1821,7
7.8,1821,8
8.3,1821,9
9.3,1821,10
9.5,1821,11
9.8,1821,12
10.4,1822,1
10.6,1822,2
10.1,1822,3
8.5,1822,4
6.9,1822,5
6.6,1822,6
6.6,1822,7
6.5,1822,8
5.4,1822,9
3.4,1822,10
2.4,1822,11
1.9,1822,12
1.0,1823,1
0.3,1823,2
0.2,1823,3
0.2,1823,4
0.2,1823,5
1.6,1823,6
4.5,1823,7
6.7,1823,8
7.4,1823,9
8.7,1823,10
10.3,1823,11
10.5,1823,12
10.4,1824,1
10.5,1824,2
12.0,1824,3
15.2,1824,4
17.0,1824,5
15.6,1824,6
13.1,1824,7
12.3,1824,8
14.2,1824,9
14.6,1824,10
14.4,1824,11
16.4,1824,12
19.6,1825,1
23.4,1825,2
24.8,1825,3
23.8,1825,4
23.9,1825,5
26.2,1825,6
28.6,1825,7
29.6,1825,8
30.8,1825,9
33.2,1825,10
35.8,1825,11
38.4,1825,12
41.4,1826,1
43.9,1826,2
45.1,1826,3
47.8,1826,4
52.1,1826,5
57.2,1826,6
61.6,1826,7
64.8,1826,8
68.3,1826,9
71.3,1826,10
74.5,1826,11
77.5,1826,12
78.2,1827,1
78.5,1827,2
81.6,1827,3
84.1,1827,4
85.0,1827,5
84.1,1827,6
83.8,1827,7
86.3,1827,8
88.0,1827,9
89.5,1827,10
92.9,1827,11
98.0,1827,12
101.7,1828,1
104.1,1828,2
105.8,1828,3
105.7,1828,4
106.2,1828,5
106.9,1828,6
106.3,1828,7
104.6,1828,8
104.0,1828,9
106.9,1828,10
107.7,1828,11
104.5,1828,12
105.4,1829,1
108.0,1829,2
108.3,1829,3
108.6,1829,4
109.5,1829,5
110.9,1829,6
112.3,1829,7
114.5,1829,8
116.9,1829,9
118.5,1829,10
119.2,1829,11
118.6,1829,12
114.7,1830,1
109.5,1830,2
108.3,1830,3
110.9,1830,4
113.7,1830,5
116.4,1830,6
117.9,1830,7
116.0,1830,8
115.1,1830,9
112.1,1830,10
106.6,1830,11
102.4,1830,12
100.3,1831,1
100.7,1831,2
99.3,1831,3
95.0,1831,4
89.7,1831,5
83.4,1831,6
78.6,1831,7
77.8,1831,8
75.5,1831,9
70.9,1831,10
69.2,1831,11
69.0,1831,12
66.4,1832,1
61.0,1832,2
55.7,1832,3
51.9,1832,4
48.1,1832,5
46.0,1832,6
44.5,1832,7
40.3,1832,8
34.5,1832,9
29.8,1832,10
26.2,1832,11
22.4,1832,12
20.1,1833,1
19.4,1833,2
19.5,1833,3
18.7,1833,4
17.2,1833,5
15.4,1833,6
13.8,1833,7
13.5,1833,8
13.2,1833,9
12.6,1833,10
12.2,1833,11
12.4,1833,12
13.0,1834,1
13.0,1834,2
12.9,1834,3
14.1,1834,4
17.0,1834,5
20.4,1834,6
22.3,1834,7
22.9,1834,8
24.4,1834,9
29.7,1834,10
36.2,1834,11
40.4,1834,12
45.7,1835,1
53.1,1835,2
63.1,1835,3
74.2,1835,4
83.9,1835,5
91.7,1835,6
100.4,1835,7
111.8,1835,8
123.0,1835,9
134.1,1835,10
144.5,1835,11
155.6,1835,12
165.9,1836,1
173.2,1836,2
176.2,1836,3
178.7,1836,4
183.1,1836,5
193.5,1836,6
209.3,1836,7
221.0,1836,8
228.2,1836,9
230.4,1836,10
230.1,1836,11
232.4,1836,12
237.9,1837,1
243.0,1837,2
244.9,1837,3
244.0,1837,4
242.1,1837,5
235.8,1837,6
227.5,1837,7
218.2,1837,8
212.3,1837,9
211.9,1837,10
212.9,1837,11
210.3,1837,12
202.1,1838,1
194.5,1838,2
189.1,1838,3
185.3,1838,4
180.9,1838,5
175.4,1838,6
169.2,1838,7
167.7,1838,8
164.6,1838,9
155.7,1838,10
145.4,1838,11
136.8,1838,12
132.4,1839,1
134.4,1839,2
142.1,1839,3
146.2,1839,4
145.6,1839,5
143.9,1839,6
141.1,1839,7
138.4,1839,8
136.7,1839,9
136.3,1839,10
137.6,1839,11
138.3,1839,12
136.2,1840,1
129.4,1840,2
120.2,1840,3
113.6,1840,4
110.1,1840,5
108.4,1840,6
103.8,1840,7
95.8,1840,8
89.1,1840,9
84.7,1840,10
82.8,1840,11
83.2,1840,12
81.6,1841,1
78.2,1841,2
74.4,1841,3
69.9,1841,4
65.7,1841,5
62.2,1841,6
61.0,1841,7
60.2,1841,8
59.0,1841,9
57.6,1841,10
53.7,1841,11
48.3,1841,12
44.6,1842,1
42.4,1842,2
40.3,1842,3
39.7,1842,4
41.8,1842,5
41.8,1842,6
39.8,1842,7
38.0,1842,8
35.8,1842,9
33.7,1842,10
32.2,1842,11
31.3,1842,12
30.4,1843,1
29.1,1843,2
27.1,1843,3
23.8,1843,4
20.1,1843,5
18.2,1843,6
17.6,1843,7
18.1,1843,8
19.3,1843,9
20.4,1843,10
20.5,1843,11
19.4,1843,12
19.7,1844,1
21.4,1844,2
22.4,1844,3
23.7,1844,4
24.3,1844,5
24.3,1844,6
26.0,1844,7
29.2,1844,8
33.3,1844,9
37.9,1844,10
42.9,1844,11
47.3,1844,12
49.9,1845,1
51.1,1845,2
53.3,1845,3
56.2,1845,4
59.5,1845,5
64.1,1845,6
67.7,1845,7
69.1,1845,8
71.0,1845,9
73.3,1845,10
75.0,1845,11
78.2,1845,12
81.7,1846,1
84.4,1846,2
91.3,1846,3
97.8,1846,4
100.3,1846,5
102.1,1846,6
104.2,1846,7
105.4,1846,8
106.5,1846,9
106.3,1846,10
105.7,1846,11
108.2,1846,12
110.0,1847,1
116.4,1847,2
126.1,1847,3
138.4,1847,4
152.5,1847,5
161.0,1847,6
170.8,1847,7
182.1,1847,8
188.4,1847,9
194.3,1847,10
200.5,1847,11
205.4,1847,12
214.5,1848,1
219.9,1848,2
215.2,1848,3
207.6,1848,4
202.6,1848,5
204.4,1848,6
209.2,1848,7
213.3,1848,8
216.0,1848,9
216.7,1848,10
216.7,1848,11
213.4,1848,12
207.4,1849,1
200.1,1849,2
196.7,1849,3
193.6,1849,4
189.9,1849,5
186.4,1849,6
176.8,1849,7
167.2,1849,8
162.7,1849,9
157.0,1849,10
150.9,1849,11
148.5,1849,12
144.6,1850,1
141.0,1850,2
139.9,1850,3
139.3,1850,4
135.7,1850,5
129.4,1850,6
126.3,1850,7
127.4,1850,8
127.3,1850,9
126.8,1850,10
127.9,1850,11
127.4,1850,12
126.6,1851,1
126.1,1851,2
124.3,1851,3
122.2,1851,4
121.2,1851,5
121.7,1851,6
121.9,1851,7
118.3,1851,8
114.9,1851,9
115.4,1851,10
115.5,1851,11
113.6,1851,12
112.8,1852,1
111.8,1852,2
108.0,1852,3
106.0,1852,4
106.6,1852,5
104.8,1852,6
100.6,1852,7
96.6,1852,8
92.9,1852,9
89.6,1852,10
86.6,1852,11
84.5,1852,12
84.2,1853,1
85.4,1853,2
85.9,1853,3
83.6,1853,4
79.6,1853,5
75.9,1853,6
72.1,1853,7
68.3,1853,8
65.1,1853,9
62.1,1853,10
59.6,1853,11
57.3,1853,12
53.6,1854,1
48.7,1854,2
45.1,1854,3
41.9,1854,4
39.5,1854,5
39.3,1854,6
38.9,1854,7
38.0,1854,8
37.0,1854,9
35.0,1854,10
32.1,1854,11
29.6,1854,12
26.9,1855,1
24.5,1855,2
21.7,1855,3
19.7,1855,4
17.5,1855,5
14.2,1855,6
11.8,1855,7
10.3,1855,8
8.5,1855,9
7.3,1855,10
6.7,1855,11
6.0,1855,12
6.3,1856,1
6.9,1856,2
7.5,1856,3
7.4,1856,4
7.3,1856,5
7.9,1856,6
9.3,1856,7
10.5,1856,8
11.1,1856,9
11.8,1856,10
14.5,1856,11
17.6,1856,12
19.8,1857,1
22.1,1857,2
26.0,1857,3
31.8,1857,4
36.6,1857,5
40.8,1857,6
45.2,1857,7
49.4,1857,8
55.7,1857,9
62.0,1857,10
65.1,1857,11
68.4,1857,12
73.4,1858,1
79.1,1858,2
85.2,1858,3
92.2,1858,4
97.8,1858,5
101.8,1858,6
107.6,1858,7
115.3,1858,8
122.1,1858,9
128.5,1858,10
136.1,1858,11
143.4,1858,12
149.8,1859,1
157.0,1859,2
163.1,1859,3
167.0,1859,4
172.4,1859,5
177.1,1859,6
178.1,1859,7
178.1,1859,8
178.8,1859,9
178.4,1859,10
178.5,1859,11
181.5,1859,12
185.0,1860,1
186.2,1860,2
184.6,1860,3
181.5,1860,4
179.7,1860,5
180.9,1860,6
180.4,1860,7
178.0,1860,8
177.3,1860,9
179.6,1860,10
177.8,1860,11
172.2,1860,12
167.5,1861,1
163.0,1861,2
160.6,1861,3
157.9,1861,4
152.6,1861,5
147.8,1861,6
146.7,1861,7
145.7,1861,8
140.1,1861,9
132.0,1861,10
129.1,1861,11
129.4,1861,12
128.7,1862,1
126.7,1862,2
124.1,1862,3
121.0,1862,4
118.8,1862,5
115.4,1862,6
111.1,1862,7
109.3,1862,8
110.5,1862,9
111.3,1862,10
109.4,1862,11
105.1,1862,12
98.5,1863,1
94.1,1863,2
89.4,1863,3
85.7,1863,4
84.5,1863,5
83.5,1863,6
84.3,1863,7
84.3,1863,8
83.5,1863,9
83.1,1863,10
81.7,1863,11
82.0,1863,12
85.1,1864,1
87.4,1864,2
88.5,1864,3
88.5,1864,4
89.6,1864,5
90.2,1864,6
88.5,1864,7
87.1,1864,8
84.4,1864,9
81.8,1864,10
80.8,1864,11
78.4,1864,12
74.3,1865,1
70.7,1865,2
68.8,1865,3
66.9,1865,4
63.0,1865,5
59.1,1865,6
56.5,1865,7
55.1,1865,8
53.8,1865,9
51.7,1865,10
49.1,1865,11
46.0,1865,12
43.3,1866,1
39.9,1866,2
36.8,1866,3
35.4,1866,4
34.0,1866,5
31.9,1866,6
28.5,1866,7
23.0,1866,8
18.8,1866,9
16.6,1866,10
14.8,1866,11
12.8,1866,12
11.3,1867,1
10.3,1867,2
9.9,1867,3
10.0,1867,4
10.0,1867,5
11.9,1867,6
14.9,1867,7
17.0,1867,8
19.1,1867,9
22.4,1867,10
26.2,1867,11
29.8,1867,12
33.5,1868,1
37.1,1868,2
41.6,1868,3
47.3,1868,4
53.9,1868,5
60.0,1868,6
65.8,1868,7
72.1,1868,8
77.0,1868,9
79.1,1868,10
84.8,1868,11
95.5,1868,12
103.0,1869,1
108.2,1869,2
113.7,1869,3
115.9,1869,4
117.0,1869,5
120.9,1869,6
124.6,1869,7
129.5,1869,8
140.7,1869,9
156.2,1869,10
169.5,1869,11
176.4,1869,12
183.4,1870,1
193.6,1870,2
202.6,1870,3
212.5,1870,4
223.4,1870,5
230.0,1870,6
232.5,1870,7
234.0,1870,8
233.7,1870,9
232.9,1870,10
231.0,1870,11
225.8,1870,12
220.7,1871,1
215.6,1871,2
208.7,1871,3
200.8,1871,4
193.9,1871,5
188.2,1871,6
184.9,1871,7
183.9,1871,8
179.7,1871,9
171.8,1871,10
164.9,1871,11
163.6,1871,12
165.0,1872,1
164.0,1872,2
165.2,1872,3
168.5,1872,4
169.9,1872,5
169.9,1872,6
170.0,1872,7
169.6,1872,8
169.3,1872,9
168.2,1872,10
162.3,1872,11
153.6,1872,12
146.4,1873,1
142.0,1873,2
135.6,1873,3
127.1,1873,4
119.3,1873,5
112.9,1873,6
108.7,1873,7
103.9,1873,8
97.4,1873,9
90.7,1873,10
87.4,1873,11
86.7,1873,12
86.3,1874,1
85.9,1874,2
84.1,1874,3
81.9,1874,4
79.2,1874,5
75.9,1874,6
71.3,1874,7
65.2,1874,8
61.3,1874,9
60.2,1874,10
57.7,1874,11
54.4,1874,12
49.6,1875,1
42.5,1875,2
37.5,1875,3
34.2,1875,4
31.9,1875,5
29.8,1875,6
28.4,1875,7
27.9,1875,8
27.3,1875,9
25.2,1875,10
22.9,1875,11
20.9,1875,12
19.5,1876,1
19.3,1876,2
19.4,1876,3
20.1,1876,4
19.6,1876,5
19.0,1876,6
19.5,1876,7
19.8,1876,8
18.1,1876,9
17.7,1876,10
19.8,1876,11
21.8,1876,12
22.0,1877,1
21.2,1877,2
21.5,1877,3
21.4,1877,4
21.2,1877,5
21.1,1877,6
19.2,1877,7
17.6,1877,8
17.2,1877,9
15.8,1877,10
13.6,1877,11
12.0,1877,12
11.0,1878,1
10.2,1878,2
8.9,1878,3
7.8,1878,4
6.7,1878,5
5.9,1878,6
5.6,1878,7
5.0,1878,8
4.0,1878,9
3.9,1878,10
4.1,1878,11
